,0
0,tilichiki
1,paradwip
2,conceicao do araguaia
3,sorong
4,saint-pacome
5,macau
6,portales
7,opuwo
8,ecoporanga
9,muros
10,mataura
11,bonfim
12,naryan-mar
13,saint george
14,kytlym
15,adrar
16,letnyaya stavka
17,quatre cocos
18,kavieng
19,codrington
20,samusu
21,grand centre
22,novopokrovka
23,nakskov
24,umzimvubu
25,falealupo
26,kodiak
27,humble
28,biryusinsk
29,grindavik
30,bilma
31,agadez
32,los llanos de aridane
33,talaya
34,tautira
35,beloha
36,mikhaylovka
37,san andres
38,kamloops
39,kampot
40,harper
41,puerto madryn
42,lima
43,butaritari
44,becerril
45,broome
46,cruzeiro do sul
47,kijang
48,east london
49,quelimane
50,humberto de campos
51,nicoya
52,macomb
53,mundargi
54,saint-philippe
55,cukai
56,saint anthony
57,bolshoye soldatskoye
58,siaya
59,kulhudhuffushi
60,shaunavon
61,tazovskiy
62,san policarpo
63,kovylkino
64,smithers
65,westport
66,avera
67,port lincoln
68,save
69,husavik
70,hithadhoo
71,ust-kulom
72,albany
73,chiredzi
74,bonavista
75,karauzyak
76,punta arenas
77,navolato
78,odweyne
79,gogrial
80,masindi
81,malindi
82,khonuu
83,roebourne
84,bokspits
85,tawau
86,sainte-anne-des-monts
87,lorengau
88,kupang
89,busselton
90,vestmannaeyjar
91,zyryanka
92,longyearbyen
93,rawson
94,waingapu
95,belem de sao francisco
96,namibe
97,kikwit
98,saleaula
99,omsukchan
100,sharjah
101,shaowu
102,los andes
103,brigantine
104,kovdor
105,victoria
106,berettyoujfalu
107,faya
108,iquitos
109,kamenka
110,umm durman
111,shulan
112,necochea
113,pandan
114,nishihara
115,jambi
116,tuktoyaktuk
117,isangel
118,jardim
119,galesong
120,rocha
121,mastic beach
122,haapiti
123,halifax
124,aklavik
125,fairview
126,wattegama
127,djambala
128,victor harbor
129,krasnoselkup
130,kropotkin
131,tashla
132,caruray
133,barentsburg
134,thano bula khan
135,lulea
136,patan
137,wlingi
138,ponte nova
139,liku
140,mentok
141,petrovskaya
142,zandvoort
143,port blair
144,geraldton
145,galena park
146,kaitangata
147,cape town
148,attawapiskat
149,bluff
150,arraial do cabo
151,taolanaro
152,lovozero
153,vallenar
154,karaul
155,talnakh
156,illoqqortoormiut
157,havelock
158,blind river
159,dzhusaly
160,urengoy
161,laiyang
162,georgetown
163,khuzhir
164,la crosse
165,sistranda
166,sakakah
167,dawlatabad
168,ponta do sol
169,verkhnevilyuysk
170,kirakira
171,marzuq
172,mandiana
173,polson
174,potgietersrus
175,sinnamary
176,severo-kurilsk
177,pundaguitan
178,abnub
179,susanville
180,chapais
181,deputatskiy
182,vostok
183,nome
184,svetlaya
185,fez
186,kisanga
187,derzhavinsk
188,sisimiut
189,sigerfjord
190,nguiu
191,srednekolymsk
192,saint simons
193,alekseyevsk
194,angoche
195,yulara
196,araouane
197,magugu
198,mwinilunga
199,clyde river
200,toktogul
201,khatanga
202,mandaguacu
203,nikolskoye
204,hilo
205,bath
206,warqla
207,broken hill
208,roma
209,alamosa
210,zhob
211,russell
212,kamyshla
213,saldanha
214,ornskoldsvik
215,kajaani
216,khomeyn
217,lebu
218,lac du bonnet
219,hella
220,avarua
221,kushiro
222,englehart
223,buqayq
224,aybak
225,herat
226,tall kayf
227,armacao dos buzios
228,ronchi dei legionari
229,lagoa
230,sao gabriel da cachoeira
231,ushuaia
232,zhanakorgan
233,murgab
234,mananara
235,guatavita
236,kaduna
237,zhaotong
238,xining
239,camacha
240,ngunguru
241,mys shmidta
242,buluang
243,praia da vitoria
244,bredasdorp
245,smoky lake
246,ahar
247,cockburn town
248,mapimi
249,ossora
250,urdoma
251,cururupu
252,eskasem
253,rio cuarto
254,chara
255,maldonado
256,luderitz
257,hermanus
258,ballina
259,richards bay
260,murfreesboro
261,alofi
262,karratha
263,fairbanks
264,stephenville
265,kalmunai
266,cayenne
267,shangrao
268,pisco
269,ruteng
270,palmas
271,pangody
272,nelson bay
273,kerman
274,agropoli
275,tomatlan
276,mildura
277,magadan
278,churapcha
279,marrakesh
280,meulaboh
281,zaria
282,upernavik
283,dali
284,benguela
285,riyadh
286,sola
287,leningradskiy
288,mathathane
289,jatai
290,cuitareo
291,qaanaaq
292,manavalakurichi
293,waipawa
294,abu samrah
295,mbutuy
296,sur
297,cabo san lucas
298,sobolevo
299,goma
300,urdzhar
301,hervey bay
302,lewisporte
303,camabatela
304,okhotsk
305,tura
306,dublin
307,cimislia
308,san juan
309,mutis
310,terrace
311,faanui
312,urumqi
313,bandrele
314,kavali
315,nouadhibou
316,clearwater
317,salalah
318,kabo
319,new norfolk
320,kitakata
321,saryozek
322,adeje
323,acarau
324,grajau
325,mar del plata
326,tiksi
327,ust-barguzin
328,mabaruma
329,narsaq
330,airai
331,lazaro cardenas
332,kshenskiy
333,saint-leu
334,hami
335,provideniya
336,aranda de duero
337,maxixe
338,pemba
339,pontes e lacerda
340,ilulissat
341,awjilah
342,mogadishu
343,katha
344,aguimes
345,pevek
346,grand gaube
347,voh
348,eyl
349,amposta
350,akureyri
351,east stroudsburg
352,general roca
353,gagra
354,fuzhou
355,padang
356,comodoro rivadavia
357,ust-tsilma
358,torbay
359,fort nelson
360,twin falls
361,teya
362,ankazoabo
363,fuyang
364,colares
365,ahipara
366,parnarama
367,grand river south east
368,tuatapere
369,meyungs
370,sioux lookout
371,beisfjord
372,karamea
373,yurty
374,bridlington
375,carnarvon
376,atambua
377,goderich
378,parrita
379,kavaratti
380,dikson
381,adre
382,tianpeng
383,swellendam
384,koundara
385,acapulco
386,weymouth
387,gambela
388,goreloye
389,vertientes
390,kroya
391,mehamn
392,bengkulu
393,jamestown
394,shunyi
395,huangchuan
396,kenora
397,hay river
398,belushya guba
399,conceicao da barra
400,virginia beach
401,nizhneyansk
402,sulangan
403,oktyabrskoye
404,bilibino
405,waycross
406,carpinteria
407,preobrazheniye
408,manzil tamim
409,yumen
410,yermakovskoye
411,kibala
412,pochutla
413,mirnyy
414,nogales
415,aloleng
416,guerrero negro
417,ajaccio
418,the valley
419,estelle
420,qingdao
421,ouadda
422,port alfred
423,tessalit
424,sao filipe
425,narni
426,medicine hat
427,henties bay
428,bredy
429,tumarbong
430,beringovskiy
431,kaeng khlo
432,perth
433,batemans bay
434,atar
435,dong hoi
436,porto novo
437,udachnyy
438,kaeo
439,andros town
440,biak
441,christchurch
442,vegreville
443,george town
444,riaba
445,krasnaya gorbatka
446,batagay
447,san felipe
448,olinda
449,agadir
450,tecoanapa
451,witbank
452,moose factory
453,dubbo
454,skiathos
455,hobart
456,san lucas
457,naze
458,katsuura
459,kangaatsiaq
460,sheregesh
461,redondela
462,ladario
463,maragogi
464,port elizabeth
465,tourlaville
466,barcelona
467,kaohsiung
468,fortuna
469,castanos
470,chuy
471,rokupr
472,khuzdar
473,iguape
474,tias
475,yerbogachen
476,kamenskoye
477,san francisco de becerra
478,superior
479,svetlogorsk
480,falmouth
481,adamas
482,bethel
483,ejea de los caballeros
484,gorno-chuyskiy
485,vao
486,sabang
487,buraydah
488,hobyo
489,lompoc
490,talcahuano
491,ancud
492,tonantins
493,san quintin
494,bafoulabe
495,rawatsar
496,flinders
497,epitalion
498,berezovyy
499,kloulklubed
500,inhambane
501,margate
502,tormac
503,cap malheureux
504,asau
505,itarema
506,lasa
507,ignatovka
508,caravelas
509,banda aceh
510,limbang
511,loandjili
512,mbini
513,sovetsk
514,oranjestad
515,dutlwe
516,hirara
517,merauke
518,sorvag
519,dhidhdhoo
520,uspenka
521,baft
522,wolgast
523,mount isa
524,bakau
525,sao felix do xingu
526,dunedin
527,haines junction
528,malanje
529,bargal
530,mahebourg
531,doba
532,erice
533,harlingen
534,mateare
535,dibulla
536,puerto ayora
537,can
538,bandarbeyla
539,kathmandu
540,tromso
541,cidreira
542,hambantota
543,kolarovo
544,axim
545,turukhansk
546,carutapera
547,pimenta bueno
548,amapa
549,sorland
550,matara
551,burnie
552,bambous virieux
553,sidi bin nur
554,phan rang
555,chhatarpur
556,chernogorsk
557,nemuro
558,tema
559,chernyshevskiy
560,hamilton
561,kayerkan
562,kerteh
563,skalistyy
564,malakal
565,rabo de peixe
566,conceicao do mato dentro
567,ostrovnoy
568,saskylakh
569,decatur
570,gornopravdinsk
571,jennings
572,cariati
573,anadyr
574,axixa do tocantins
575,pahrump
576,bereda
577,san patricio
578,rafai
579,vitim
580,komsomolskiy
581,neustrelitz
582,gangotri
583,constitucion
584,tsalka
585,olafsvik
586,kyabram
587,san carlos de bariloche
588,bethalto
589,bathsheba
590,conceicao da feira
591,isagarh
592,ucluelet
593,arrecife
594,soc trang
595,takoradi
596,krosno
597,felipe carrillo puerto
598,lata
599,bowen
600,trincomalee
601,vaitupu
602,polunochnoye
603,strezhevoy
604,kommunisticheskiy
605,lavrentiya
606,boden
607,coquimbo
608,arman
609,maniitsoq
610,caledon
611,vardo
612,ashington
613,rudarpur
614,tsihombe
615,temaraia
616,zeya
617,marcona
618,iskateley
619,lyuban
620,halalo
621,coihaique
622,chokurdakh
623,tharad
624,paramirim
625,bac lieu
626,san cristobal
627,totness
628,abonnema
629,amderma
630,kununurra
631,ryotsu
632,iqaluit
633,leh
634,kapaa
635,elliot lake
636,pacific grove
637,norman wells
638,bandar-e torkaman
639,kharp
640,koumac
641,riberalta
642,santa ines
643,pangnirtung
644,arica
645,grootfontein
646,termoli
647,kangasala
648,lingao
649,payo
650,rodino
651,kasungu
652,muisne
653,ribeira grande
654,atuona
655,mon
656,kuryk
657,krasnyy chikoy
658,shahrud
659,palabuhanratu
660,along
661,luoyang
662,plettenberg bay
663,chokwe
664,aktas
665,lucapa
666,puerto leguizamo
667,kruisfontein
668,aksha
669,labuhan
670,praia
671,awbari
672,gatton
673,pacifica
674,misratah
675,umm lajj
676,alexandria
677,kenai
678,calama
679,impfondo
680,hasaki
681,barrow
682,kertosono
683,killam
684,san jeronimo
685,jumla
686,bam
687,panzhihua
688,bosaso
689,kokoda
690,beatrice
691,lolua
692,visnes
693,kahului
694,sol-iletsk
695,nanortalik
696,portland
697,kachikau
698,aykhal
699,taoudenni
700,ravar
701,cherskiy
702,rikitea
703,castro
704,orlik
705,thompson
706,belmonte
707,bodden town
708,yueyang
709,ixtapa
710,manica
711,poum
712,fremont
713,xai-xai
714,imbituba
715,batagay-alyta
716,sterlibashevo
717,yar-sale
718,general pico
719,kosonsoy
720,te anau
721,ulladulla
722,port shepstone
723,sentyabrskiy
724,barawe
725,hefei
726,chumikan
727,alta floresta
728,sayyan
729,mrirt
730,karaton
731,jizan
732,mudu
733,vanimo
734,lerwick
735,nabire
736,dongsheng
737,shitanjing
738,prince george
739,alotau
740,grimari
741,tapa
742,palic
743,letka
744,barguzin
745,gizo
746,hovd
747,puerto ayacucho
748,sitka
749,port moresby
750,peniche
751,rwamagana
752,sawtell
753,oum hadjer
754,shimoda
755,komarno
756,basoko
757,la ronge
758,la rioja
759,jega
760,gazli
761,honiara
762,morant bay
763,kyra
764,ferentino
765,port hardy
766,louisbourg
767,dicabisagan
768,tadine
769,vila velha
770,ambilobe
771,aquiraz
772,verkhnyaya inta
773,paamiut
774,rungata
775,gorom-gorom
776,arlit
777,saint-pierre
778,esperance
779,ugoofaaru
780,lamar
781,nantucket
782,tasiilaq
783,klaksvik
784,bimbo
785,mayo
786,kerema
787,knysna
788,killybegs
789,surt
790,biltine
791,vaini
792,mount gambier
793,wanning
794,rio gallegos
795,yellowknife
796,qaqortoq
797,yaan
798,banyo
799,jibuti
